Crop,Crop_Stage,Sowing_Date,Disease
Chickpea,Reproductive Stages of Chickpea,2024-10-10,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-26,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-25,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-12,Ascochyta Blight
Chickpea,Harvest Stage,2024-11-05,Collar Rot
Chickpea,Harvest Stage,2024-10-28,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-05,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-18,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-13,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-26,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-05,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-15,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-28,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-28,Collar Rot
Chickpea,Vegetative Growth,2024-10-24,Ascochyta Blight
Chickpea,Harvest Stage,2024-11-19,Rust
Chickpea,Germination and Emergence,2024-11-08,Rust
Chickpea,Vegetative Growth,2024-11-01,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-23,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-24,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-10,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-25,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-26,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-17,Rust
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-21,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-14,Collar Rot
Chickpea,Germination and Emergence,2024-10-07,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-06,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-03,Collar Rot
Chickpea,Vegetative Growth,2024-11-24,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-03,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-08,Dry Root Rot
Chickpea,Harvest Stage,2024-11-13,Collar Rot
Chickpea,Harvest Stage,2024-10-08,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-01,Ascochyta Blight
Chickpea,Harvest Stage,2024-11-21,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-09,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-05,Rust
Chickpea,Vegetative Growth,2024-11-06,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-16,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-13,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-16,Collar Rot
Chickpea,Germination and Emergence,2024-11-12,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-15,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-27,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-20,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-27,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-13,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-31,Rust
Chickpea,Vegetative Growth,2024-10-04,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-10,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-12,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-09,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-20,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-09,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-10-11,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-24,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-14,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-09,Dry Root Rot
Chickpea,Harvest Stage,2024-11-14,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-02,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-30,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-02,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-25,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-06,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-19,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-14,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-12,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-03,Collar Rot
Chickpea,Germination and Emergence,2024-10-22,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-13,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-11,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-25,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-09,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-24,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-04,Collar Rot
Chickpea,Germination and Emergence,2024-10-09,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-03,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-18,Collar Rot
Chickpea,Germination and Emergence,2024-10-21,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-16,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-16,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-19,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-18,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-03,Dry Root Rot
Chickpea,Harvest Stage,2024-11-14,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-16,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-12,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-26,Rust
Chickpea,Vegetative Growth,2024-10-11,Dry Root Rot
Chickpea,Harvest Stage,2024-11-11,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-28,Rust
Chickpea,Germination and Emergence,2024-10-21,Collar Rot
Chickpea,Vegetative Growth,2024-11-12,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-29,Collar Rot
Chickpea,Harvest Stage,2024-10-06,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-06,Dry Root Rot
Chickpea,Germination and Emergence,2024-11-14,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-10,Fusarium Wilt
Chickpea,Vegetative Growth,2024-11-16,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-02,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-18,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-23,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-18,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-22,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-04,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-17,Dry Root Rot
Chickpea,Harvest Stage,2024-10-23,Rust
Chickpea,Harvest Stage,2024-11-18,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-11,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-25,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-11-04,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-07,Rust
Chickpea,Vegetative Growth,2024-11-19,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-31,Collar Rot
Chickpea,Germination and Emergence,2024-11-14,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-16,Collar Rot
Chickpea,Harvest Stage,2024-11-04,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-09,Collar Rot
Chickpea,Harvest Stage,2024-10-13,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-18,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-01,Collar Rot
Chickpea,Vegetative Growth,2024-10-08,Collar Rot
Chickpea,Harvest Stage,2024-11-21,Collar Rot
Chickpea,Germination and Emergence,2024-10-03,Collar Rot
Chickpea,Harvest Stage,2024-10-02,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-15,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-22,Rust
Chickpea,Vegetative Growth,2024-10-02,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-12,Dry Root Rot
Chickpea,Harvest Stage,2024-10-14,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-08,Rust
Chickpea,Vegetative Growth,2024-11-16,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-11-26,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-24,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-07,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-16,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-17,Rust
Chickpea,Germination and Emergence,2024-10-10,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-27,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-06,Pod Borer Infestation
Chickpea,Harvest Stage,2024-10-30,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-18,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-29,Collar Rot
Chickpea,Germination and Emergence,2024-10-16,Rust
Chickpea,Germination and Emergence,2024-10-20,Rust
Chickpea,Harvest Stage,2024-11-02,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-28,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-12,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-11-26,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-29,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-11,Dry Root Rot
Chickpea,Harvest Stage,2024-10-13,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-02,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-05,Rust
Chickpea,Harvest Stage,2024-10-02,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-02,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-05,Rust
Chickpea,Vegetative Growth,2024-10-10,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-23,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-28,Collar Rot
Chickpea,Germination and Emergence,2024-11-08,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-21,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-25,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-01,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-13,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-10-24,Dry Root Rot
Chickpea,Vegetative Growth,2024-10-16,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-21,Rust
Chickpea,Vegetative Growth,2024-10-18,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-21,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-24,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-21,Botrytis Gray Mold
Chickpea,Reproductive Stages of Chickpea,2024-11-17,Collar Rot
Chickpea,Harvest Stage,2024-10-23,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-07,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-25,Ascochyta Blight
Chickpea,Harvest Stage,2024-10-09,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-18,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-10,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Dry Root Rot
Chickpea,Harvest Stage,2024-11-07,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-28,Rust
Chickpea,Vegetative Growth,2024-11-05,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-17,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-11-19,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-10-06,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-11,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-11,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-08,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-07,Rust
Chickpea,Germination and Emergence,2024-10-26,Collar Rot
Chickpea,Vegetative Growth,2024-10-30,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-09,Rust
Chickpea,Harvest Stage,2024-11-12,Ascochyta Blight
Chickpea,Germination and Emergence,2024-10-06,Ascochyta Blight
Chickpea,Germination and Emergence,2024-11-12,Collar Rot
Chickpea,Vegetative Growth,2024-11-29,Rust
Chickpea,Germination and Emergence,2024-11-12,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-22,Pod Borer Infestation
Chickpea,Harvest Stage,2024-11-04,Ascochyta Blight
Chickpea,Harvest Stage,2024-11-06,Ascochyta Blight
Chickpea,Reproductive Stages of Chickpea,2024-10-10,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-04,Collar Rot
Chickpea,Germination and Emergence,2024-10-08,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-10-02,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-17,Fusarium Wilt
Chickpea,Germination and Emergence,2024-11-25,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-11-13,Ascochyta Blight
Chickpea,Vegetative Growth,2024-10-31,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-10-07,Alternaria Leaf Spot
Chickpea,Germination and Emergence,2024-10-07,Fusarium Wilt
Chickpea,Germination and Emergence,2024-10-09,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-11-12,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-11-26,Botrytis Gray Mold
Chickpea,Vegetative Growth,2024-11-13,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-28,Botrytis Gray Mold
Chickpea,Harvest Stage,2024-11-17,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-03,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-12,Fusarium Wilt
Chickpea,Vegetative Growth,2024-10-06,Fusarium Wilt
Chickpea,Harvest Stage,2024-11-12,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-08,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-15,Rust
Chickpea,Harvest Stage,2024-10-03,Rust
Chickpea,Harvest Stage,2024-10-12,Collar Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-30,Rust
Chickpea,Vegetative Growth,2024-10-20,Collar Rot
Chickpea,Germination and Emergence,2024-10-28,Collar Rot
Chickpea,Harvest Stage,2024-11-09,Dry Root Rot
Chickpea,Germination and Emergence,2024-10-02,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-18,Fusarium Wilt
Chickpea,Reproductive Stages of Chickpea,2024-10-20,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-28,Rust
Chickpea,Harvest Stage,2024-11-23,Collar Rot
Chickpea,Germination and Emergence,2024-10-03,Pod Borer Infestation
Chickpea,Vegetative Growth,2024-11-15,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-11-03,Rust
Chickpea,Harvest Stage,2024-10-26,Collar Rot
Chickpea,Germination and Emergence,2024-10-18,Pod Borer Infestation
Chickpea,Reproductive Stages of Chickpea,2024-10-02,Fusarium Wilt
Chickpea,Harvest Stage,2024-10-06,Ascochyta Blight
Chickpea,Vegetative Growth,2024-11-12,Alternaria Leaf Spot
Chickpea,Vegetative Growth,2024-11-28,Collar Rot
Chickpea,Germination and Emergence,2024-10-07,Dry Root Rot
Chickpea,Vegetative Growth,2024-11-02,Collar Rot
Chickpea,Vegetative Growth,2024-11-26,Collar Rot
Chickpea,Vegetative Growth,2024-10-25,Rust
Chickpea,Vegetative Growth,2024-10-26,Alternaria Leaf Spot
Chickpea,Harvest Stage,2024-10-16,Botrytis Gray Mold
Chickpea,Germination and Emergence,2024-10-02,Pod Borer Infestation
Chickpea,Germination and Emergence,2024-10-16,Alternaria Leaf Spot
Chickpea,Reproductive Stages of Chickpea,2024-10-30,Dry Root Rot
Chickpea,Reproductive Stages of Chickpea,2024-10-22,Rust
Chickpea,Reproductive Stages of Chickpea,2024-11-22,Alternaria Leaf Spot
